TF_a	TF_b	num_site_TF_b	exact	window
SMAD5.hg38.10000	SMAD5.hg38.10000	10000	10000	10000
SMAD5.hg38.10000	HEY1.hg38.10000	10000	309	4521
SMAD5.hg38.10000	NFATC1.hg38.10000	10000	118	4060
SMAD5.hg38.10000	YY1.hg38.10000	10000	102	4010
SMAD5.hg38.10000	POU2F2.hg38.10000	10000	75	2180
SMAD5.hg38.10000	YY2.hg38.10000	10000	72	2764
SMAD5.hg38.10000	NEUROD1.hg38.10000	10000	70	2105
SMAD5.hg38.10000	REST.hg38.10000	10000	67	2192
SMAD5.hg38.10000	STAT1.hg38.10000	10000	65	3229
SMAD5.hg38.10000	CEBPD.hg38.10000	10000	64	1472
SMAD5.hg38.10000	MYC.hg38.10000	10000	59	4706
SMAD5.hg38.10000	TBP.hg38.10000	10000	55	5366
SMAD5.hg38.10000	MBD2.hg38.10000	10000	51	2426
SMAD5.hg38.10000	REL.hg38.10000	10000	48	2214
SMAD5.hg38.10000	MXI1.hg38.10000	10000	47	3676
SMAD5.hg38.10000	MAF.hg38.10000	10000	46	1970
SMAD5.hg38.10000	E2F8.hg38.10000	10000	44	2620
SMAD5.hg38.10000	ELF4.hg38.10000	10000	40	3338
SMAD5.hg38.10000	KLF6.hg38.10000	10000	37	3082
SMAD5.hg38.10000	SMAD1.hg38.10000	10000	35	1561
SMAD5.hg38.10000	MAX.hg38.10000	10000	34	4155
SMAD5.hg38.10000	SMAD4.hg38.10000	10000	33	1955
SMAD5.hg38.10000	FOXO3.hg38.10000	10000	33	1738
SMAD5.hg38.10000	MYCN.hg38.10000	10000	32	3829
SMAD5.hg38.10000	JUN.hg38.10000	10000	31	2833
SMAD5.hg38.10000	ZBTB11.hg38.10000	10000	31	2786
SMAD5.hg38.10000	BCL11B.hg38.10000	10000	30	3269
SMAD5.hg38.10000	RELA.hg38.10000	10000	30	3053
SMAD5.hg38.10000	TCF12.hg38.10000	10000	30	2881
SMAD5.hg38.10000	ZBTB26.hg38.10000	10000	29	3157
SMAD5.hg38.10000	NR2C2.hg38.10000	10000	29	2452
SMAD5.hg38.10000	GMEB2.hg38.10000	10000	28	4345
SMAD5.hg38.10000	ETV5.hg38.10000	10000	28	3213
SMAD5.hg38.10000	ZBTB33.hg38.10000	10000	28	3050
SMAD5.hg38.10000	HIF1A.hg38.10000	10000	28	2703
SMAD5.hg38.10000	EPAS1.hg38.10000	10000	28	1087
SMAD5.hg38.10000	E2F1.hg38.10000	10000	27	4925
SMAD5.hg38.10000	ETV4.hg38.10000	10000	27	2429
SMAD5.hg38.10000	ZSCAN9.hg38.10000	10000	27	1655
SMAD5.hg38.10000	RXRA.hg38.10000	10000	26	2817
SMAD5.hg38.10000	MYRF.hg38.10000	10000	26	2360
SMAD5.hg38.10000	SETDB1.hg38.10000	10000	26	2358
SMAD5.hg38.10000	ZNF341.hg38.10000	10000	26	1759
SMAD5.hg38.10000	ELK4.hg38.10000	10000	25	3450
SMAD5.hg38.10000	TCF3.hg38.10000	10000	25	1329
SMAD5.hg38.10000	CXXC1.hg38.10000	10000	24	4140
SMAD5.hg38.10000	ZFX.hg38.10000	10000	24	4046
SMAD5.hg38.10000	RBPJ.hg38.10000	10000	24	3884
SMAD5.hg38.10000	ETS1.hg38.10000	10000	24	3738
SMAD5.hg38.10000	BHLHE40.hg38.10000	10000	24	2516
SMAD5.hg38.10000	ZNF792.hg38.10000	10000	24	1750
SMAD5.hg38.10000	ZNF18.hg38.10000	10000	24	1576
SMAD5.hg38.10000	MNT.hg38.10000	10000	23	2978
SMAD5.hg38.10000	HOXA6.hg38.10000	10000	23	2888
SMAD5.hg38.10000	ZBTB14.hg38.10000	10000	23	2795
SMAD5.hg38.10000	FLI1.hg38.10000	10000	23	2778
SMAD5.hg38.10000	STAT2.hg38.10000	10000	23	2480
SMAD5.hg38.10000	IKZF5.hg38.10000	10000	23	1507
SMAD5.hg38.10000	FOXK1.hg38.10000	10000	23	1131
SMAD5.hg38.10000	KLF11.hg38.10000	10000	22	3424
SMAD5.hg38.10000	ELK3.hg38.10000	10000	22	2478
SMAD5.hg38.10000	RARA.hg38.10000	10000	22	2254
SMAD5.hg38.10000	TRPS1.hg38.10000	10000	22	1732
SMAD5.hg38.10000	ERG.hg38.10000	10000	21	3921
SMAD5.hg38.10000	NFYC.hg38.10000	10000	21	3615
SMAD5.hg38.10000	ZNF324.hg38.10000	10000	21	1672
SMAD5.hg38.10000	MYNN.hg38.10000	10000	21	1052
SMAD5.hg38.10000	PPARD.hg38.10000	10000	21	672
SMAD5.hg38.10000	KMT2A.hg38.10000	10000	20	3889
SMAD5.hg38.10000	E2F6.hg38.10000	10000	20	3036
SMAD5.hg38.10000	ZBTB7A.hg38.10000	10000	20	2496
SMAD5.hg38.10000	ZNF580.hg38.10000	10000	20	1569
SMAD5.hg38.10000	SIX5.hg38.10000	10000	19	3760
SMAD5.hg38.10000	TFDP1.hg38.10000	10000	19	3525
SMAD5.hg38.10000	E4F1.hg38.10000	10000	19	3006
SMAD5.hg38.10000	ZFP42.hg38.10000	10000	19	2992
SMAD5.hg38.10000	SOX4.hg38.10000	10000	19	2597
SMAD5.hg38.10000	PATZ1.hg38.10000	10000	19	2354
SMAD5.hg38.10000	FOXM1.hg38.10000	10000	19	2220
SMAD5.hg38.10000	KLF16.hg38.10000	10000	19	1606
SMAD5.hg38.10000	MECOM.hg38.10000	10000	19	1360
SMAD5.hg38.10000	E2F4.hg38.10000	10000	18	3778
SMAD5.hg38.10000	ETV1.hg38.10000	10000	18	3271
SMAD5.hg38.10000	BACH1.hg38.10000	10000	18	2083
SMAD5.hg38.10000	ZSCAN22.hg38.10000	10000	18	2005
SMAD5.hg38.10000	POU3F2.hg38.10000	10000	18	1932
SMAD5.hg38.10000	MYF5.hg38.10000	10000	18	1391
SMAD5.hg38.10000	SP2.hg38.10000	10000	17	3718
SMAD5.hg38.10000	THAP11.hg38.10000	10000	17	2895
SMAD5.hg38.10000	GLIS2.hg38.10000	10000	17	2186
SMAD5.hg38.10000	FOXK2.hg38.10000	10000	17	2042
SMAD5.hg38.10000	STAT5A.hg38.10000	10000	17	1788
SMAD5.hg38.10000	ASCL2.hg38.10000	10000	17	1284
SMAD5.hg38.10000	ZNF778.hg38.10000	10000	17	1151
SMAD5.hg38.10000	KLF10.hg38.10000	10000	16	4066
SMAD5.hg38.10000	CREM.hg38.10000	10000	16	3989
SMAD5.hg38.10000	VDR.hg38.10000	10000	16	2201
SMAD5.hg38.10000	STAT3.hg38.10000	10000	16	2172
SMAD5.hg38.10000	E2F7.hg38.10000	10000	16	1780
SMAD5.hg38.10000	FOXP3.hg38.10000	10000	16	1660
SMAD5.hg38.10000	ZEB1.hg38.10000	10000	16	1550
SMAD5.hg38.10000	TP53.hg38.10000	10000	16	1286
SMAD5.hg38.10000	SMAD3.hg38.10000	10000	16	1122
SMAD5.hg38.10000	KLF5.hg38.10000	10000	15	3380
SMAD5.hg38.10000	PBX3.hg38.10000	10000	15	1973
SMAD5.hg38.10000	CLOCK.hg38.10000	10000	15	1932
SMAD5.hg38.10000	ZBTB17.hg38.10000	10000	15	1742
SMAD5.hg38.10000	ZBTB20.hg38.10000	10000	15	1739
SMAD5.hg38.10000	ARNT.hg38.10000	10000	15	1683
SMAD5.hg38.10000	ARNTL.hg38.10000	10000	15	1427
SMAD5.hg38.10000	MYOD1.hg38.10000	10000	15	1144
SMAD5.hg38.10000	SP5.hg38.10000	10000	14	2667
SMAD5.hg38.10000	FOXP1.hg38.10000	10000	14	2650
SMAD5.hg38.10000	IRF2.hg38.10000	10000	14	2196
SMAD5.hg38.10000	ATF3.hg38.10000	10000	14	2190
SMAD5.hg38.10000	TFAP4.hg38.10000	10000	14	1805
SMAD5.hg38.10000	ZKSCAN1.hg38.10000	10000	14	1151
SMAD5.hg38.10000	BCL11A.hg38.10000	10000	14	1001
SMAD5.hg38.10000	NR5A2.hg38.10000	10000	14	758
SMAD5.hg38.10000	ELF1.hg38.10000	10000	13	4363
SMAD5.hg38.10000	EHF.hg38.10000	10000	13	1830
SMAD5.hg38.10000	MYBL2.hg38.10000	10000	13	1628
SMAD5.hg38.10000	BCL6.hg38.10000	10000	13	1626
SMAD5.hg38.10000	STAT6.hg38.10000	10000	13	1425
SMAD5.hg38.10000	PAX5.hg38.10000	10000	13	1269
SMAD5.hg38.10000	TCF7L2.hg38.10000	10000	13	1100
SMAD5.hg38.10000	FOXO1.hg38.10000	10000	13	974
SMAD5.hg38.10000	HIC1.hg38.10000	10000	13	906
SMAD5.hg38.10000	NFKB1.hg38.10000	10000	13	852
SMAD5.hg38.10000	THRB.hg38.10000	10000	13	678
SMAD5.hg38.10000	ZNF274.hg38.10000	10000	13	134
SMAD5.hg38.10000	SP1.hg38.10000	10000	12	4744
SMAD5.hg38.10000	GABPA.hg38.10000	10000	12	4282
SMAD5.hg38.10000	STAT5B.hg38.10000	10000	12	1867
SMAD5.hg38.10000	KLF4.hg38.10000	10000	12	1866
SMAD5.hg38.10000	OVOL2.hg38.10000	10000	12	1810
SMAD5.hg38.10000	XBP1.hg38.10000	10000	12	1463
SMAD5.hg38.10000	ZNF3.hg38.10000	10000	12	1450
SMAD5.hg38.10000	ZNF263.hg38.10000	10000	12	1319
SMAD5.hg38.10000	SOX17.hg38.10000	10000	12	891
SMAD5.hg38.10000	SOX2.hg38.10000	10000	12	619
SMAD5.hg38.10000	MEF2C.hg38.10000	10000	12	394
SMAD5.hg38.10000	CREB1.hg38.10000	10000	11	4681
SMAD5.hg38.10000	MAZ.hg38.10000	10000	11	2913
SMAD5.hg38.10000	EGR1.hg38.10000	10000	11	2868
SMAD5.hg38.10000	ZNF143.hg38.10000	10000	11	2823
SMAD5.hg38.10000	ZBTB48.hg38.10000	10000	11	1982
SMAD5.hg38.10000	KLF1.hg38.10000	10000	11	1942
SMAD5.hg38.10000	ZNF217.hg38.10000	10000	11	1702
SMAD5.hg38.10000	IKZF1.hg38.10000	10000	11	1403
SMAD5.hg38.10000	JUND.hg38.10000	10000	11	1117
SMAD5.hg38.10000	NFIC.hg38.10000	10000	11	913
SMAD5.hg38.10000	ZBTB42.hg38.10000	10000	11	836
SMAD5.hg38.10000	CEBPB.hg38.10000	10000	11	730
SMAD5.hg38.10000	NR3C1.hg38.10000	10000	11	712
SMAD5.hg38.10000	NFYA.hg38.10000	10000	10	3752
SMAD5.hg38.10000	NRF1.hg38.10000	10000	10	3702
SMAD5.hg38.10000	KDM2B.hg38.10000	10000	10	3087
SMAD5.hg38.10000	SOX9.hg38.10000	10000	10	2557
SMAD5.hg38.10000	SREBF2.hg38.10000	10000	10	1858
SMAD5.hg38.10000	TCF7L1.hg38.10000	10000	10	1852
SMAD5.hg38.10000	MYB.hg38.10000	10000	10	1813
SMAD5.hg38.10000	NFE2.hg38.10000	10000	10	1551
SMAD5.hg38.10000	ERF.hg38.10000	10000	10	1453
SMAD5.hg38.10000	MLX.hg38.10000	10000	10	1327
